Image Name,Original name,Stimtype,Task,Sim_Category,Sim_Score,Valence_Category,Valence_Score,Arousal_Category,Arousal_Score,MEMORABILITY,ABBA Encoding Valence score,VALENCE_OVERALL,OVERALL_VALENCE_CATEGORY,Set
1027_A_H,10049d.jpg,Baseline Lure,Encoding,High Similarity,4.655531529,Negative,3.787172379,Somewhat arousing,4.601640974,0.765017152,3.41950313,3.531245745,Negative,B
1027_B_H,10049e.jpg,Lure,Retrieval,High Similarity,4.655531529,Negative,3.787172379,Somewhat arousing,4.601640974,0.678100824,,3.531245745,Negative,B
1030_A_H,302D.jpg,Baseline Lure,Encoding,High Similarity,4.764749461,Negative,2.084735577,Somewhat arousing,5.946794181,0.883009493,2.778997748,2.600100848,Negative,B
1030_B_H,302E.jpg,Lure,Retrieval,High Similarity,4.764749461,Negative,2.084735577,Somewhat arousing,5.946794181,0.821645975,,2.600100848,Negative,B
1031_A_H,303D.jpg,Baseline Lure,Encoding,High Similarity,5.205880301,Negative,2.899414063,Somewhat arousing,5.07657597,0.862445951,3.405100413,3.283249932,Negative,B
1031_B_H,303E.jpg,Lure,Retrieval,High Similarity,5.205880301,Negative,2.899414063,Somewhat arousing,5.07657597,0.882104456,,3.283249932,Negative,B
1032_A_H,304D.jpg,Baseline Lure,Encoding,High Similarity,5.418439593,Negative,3.973733836,Somewhat arousing,4.788523707,0.862836182,4.246836948,4.178218483,Neutral,B
1032_B_H,304E.jpg,Lure,Retrieval,High Similarity,5.418439593,Negative,3.973733836,Somewhat arousing,4.788523707,0.881070495,,4.178218483,Neutral,B
1033_A_H,307D.jpg,Baseline Lure,Encoding,High Similarity,4.980957031,Negative,2.603724888,Somewhat arousing,5.497710129,0.845530152,2.783009572,2.748735477,Negative,A
1033_B_H,307E.jpg,Lure,Retrieval,High Similarity,4.980957031,Negative,2.603724888,Somewhat arousing,5.497710129,0.895175397,,2.748735477,Negative,A
1034_A_H,308D.jpg,Baseline Lure,Encoding,High Similarity,4.995849609,Negative,3.697916667,Somewhat arousing,5.160590278,0.869969904,4.67111698,4.414832899,Neutral,B
1034_B_H,308F.jpg,Lure,Retrieval,High Similarity,4.995849609,Negative,3.697916667,Somewhat arousing,5.160590278,0.848035455,,4.414832899,Neutral,B
1035_A_H,310D.jpg,Baseline Lure,Encoding,High Similarity,4.856445313,Negative,2.240705819,Somewhat arousing,5.736664871,0.891866088,3.268229167,2.973206159,Negative,B
1035_B_H,310E.jpg,Lure,Retrieval,High Similarity,4.856445313,Negative,2.240705819,Somewhat arousing,5.736664871,0.848432302,,2.973206159,Negative,B
1038_A_H,313D.jpg,Baseline Lure,Encoding,High Similarity,5.080953664,Negative,2.734157986,Somewhat arousing,5.697916667,0.852140188,3.318118248,3.155865391,Negative,A
1038_B_H,313E.jpg,Lure,Retrieval,High Similarity,5.080953664,Negative,2.734157986,Somewhat arousing,5.697916667,0.825250745,,3.155865391,Negative,A
1040_A_H,316D.jpg,Baseline Lure,Encoding,High Similarity,4.603515625,Negative,3.437848772,Somewhat arousing,4.530913254,0.745406628,4.174633752,3.977854049,Negative,B
1040_B_H,316E.jpg,Lure,Retrieval,High Similarity,4.603515625,Negative,3.437848772,Somewhat arousing,4.530913254,0.792107463,,3.977854049,Negative,B
1041_A_L,317D.jpg,Baseline Lure,Encoding,Low Similarity,4.375705295,Negative,3.017717634,Somewhat arousing,4.426269531,0.709033787,3.29119102,3.236850644,Negative,B
1041_B_L,317F.jpg,Lure,Retrieval,Low Similarity,4.375705295,Negative,3.017717634,Somewhat arousing,4.426269531,0.62025702,,3.236850644,Negative,B
1042_A_H,318D.jpg,Baseline Lure,Encoding,High Similarity,5.194580078,Negative,2.089564732,Somewhat arousing,5.508822737,0.751959085,2.810646584,2.623681223,Negative,A
